upn,serial number,secret key,time interval,manufacturer,model
user47@versoix.onmicrosoft.com,8659623983130,Z7UGFXZ5FF9GZU2JFSJTVNRJPDV44I4H,30,Token2,C202
user48@versoix.onmicrosoft.com,8659623983131,IREZ8WGG35RJ626FXF89IP43984J45JY,30,Token2,C202
user49@versoix.onmicrosoft.com,8659623983132,4E6SF9ZAF46GTBXFBJDUBMBDDHAJ25MV,30,Token2,C202
user50@versoix.onmicrosoft.com,8659623983133,MV58AZ2RCYWT4MXPI34IUVPGDQZ7TWU8,30,Token2,C202
user51@versoix.onmicrosoft.com,8659623983134,27IG94JSJ3TJNR6NCVU9DWBX8S35YNRB,30,Token2,C202
user52@versoix.onmicrosoft.com,8659623983135,TFDGKE9QFVY32X3YQU6FIAVTR8RFWKCU,30,Token2,C202
user53@versoix.onmicrosoft.com,8659623983136,T9BDWFCTINV4YA88BQD6256YK5AJPEJR,30,Token2,C202
user54@versoix.onmicrosoft.com,8659623983137,N8MDBDJ2UMJISP55UM938Y43BZ27MUFI,30,Token2,C202
user55@versoix.onmicrosoft.com,8659623983138,T39V95JJXHXMPASKTKEZVBPBB2H753R4,30,Token2,C202
user56@versoix.onmicrosoft.com,8659623983139,QKDIPKEV8QTMECZMB9G3F2EGHM2WGNMI,30,Token2,C202
user57@versoix.onmicrosoft.com,8659623983140,BHQJS5V54XJVR6AEZ8ES2MS47IYDSGYC,30,Token2,C202
user58@versoix.onmicrosoft.com,8659623983141,C4PUJ4U2AVEQ2ZCFAIAQFVXFVD2H9F59,30,Token2,C202
user59@versoix.onmicrosoft.com,8659623983142,V73834NXZ9T9NNVGRZTPPI82DJ4M3UUG,30,Token2,C202
user60@versoix.onmicrosoft.com,8659623983143,9NNAC2DQPAFVQN4HZCGEDIJK7IQ3645A,30,Token2,C202
user61@versoix.onmicrosoft.com,8659623983144,JEHPPG4G8TV2EB6Z5GW5S3XF9BIQBE84,30,Token2,C202
user62@versoix.onmicrosoft.com,8659623983145,GKQREUDZDZMQMJB24ZP44GZG7ZWZKYT5,30,Token2,C202
user63@versoix.onmicrosoft.com,8659623983146,ATGHJ3K96E5B944U4A82F8GFSW8FVIAR,30,Token2,C202
user64@versoix.onmicrosoft.com,8659623983147,IF94URVKEKMUV7DIJB5QSPWWHKVGVGXK,30,Token2,C202
user65@versoix.onmicrosoft.com,8659623983148,AIIMJNUX3WFA8XEZ8E47QXJ9W26J2QJ8,30,Token2,C202
user66@versoix.onmicrosoft.com,8659623983149,5TRMICQHXA99FZDTJMKYZ7UWA5GGD7JD,30,Token2,C202
user67@versoix.onmicrosoft.com,8659623983150,SPSU5JZ6BIVZC9MCB4C5TYDJTSDHWN2Z,30,Token2,C202
user68@versoix.onmicrosoft.com,8659623983151,KU2ZTA29XHUGINAPJE9HKVZYRTEYWIFY,30,Token2,C202
user69@versoix.onmicrosoft.com,8659623983152,PD7KYTVV7HQ7V2RRYH6M4FBE36WSZ6AY,30,Token2,C202
user70@versoix.onmicrosoft.com,8659623983153,FV8FHEX54W2QGW4979YP9FM6VKR2DSBE,30,Token2,C202
user71@versoix.onmicrosoft.com,8659623983154,UR3WMMBECSMU9TVX6E4BN384SCECAHNE,30,Token2,C202
user72@versoix.onmicrosoft.com,8659623983155,UCNDCAN44S9BAA7KW7A4SIZDVJ9HSAKI,30,Token2,C202
user73@versoix.onmicrosoft.com,8659623983156,QY9JGWMMA7MSN4A9CGKK84VRA926GJN2,30,Token2,C202
user74@versoix.onmicrosoft.com,8659623983157,ZHFNN5JMQ6XCZDH8GM9XGXHTJH8SMEJG,30,Token2,C202
user75@versoix.onmicrosoft.com,8659623983158,8M8ID8325BDTGMCR7HSC4BTCQAQB69ZR,30,Token2,C202
user76@versoix.onmicrosoft.com,8659623983159,GW3NWA6QJQKSY6FC6UC23VYGQBXE45M6,30,Token2,C202
user77@versoix.onmicrosoft.com,8659623983160,BDX9ZU6ZWVSRYUHAMH8VFJDP4CXQ5QSF,30,Token2,C202
user78@versoix.onmicrosoft.com,8659623983161,GAMZBY5GYM878DJTTKSJW2CQEQDB3UIM,30,Token2,C202
user79@versoix.onmicrosoft.com,8659623983162,S4HXVWCREKPENDB6IMF8ZZNW8UU82AGX,30,Token2,C202
user80@versoix.onmicrosoft.com,8659623983163,TFJHA77PE7XAATR96FA6TFZXIPKUVUQQ,30,Token2,C202
user81@versoix.onmicrosoft.com,8659623983164,AXCKN9T6XN8MGGWIG9YBWUIRYCQFIM9Z,30,Token2,C202
user82@versoix.onmicrosoft.com,8659623983165,SIEAH5HF4UFQQTNR7QF62Q6YTADZ4V49,30,Token2,C202
user83@versoix.onmicrosoft.com,8659623983166,KU4IEQY7XYH3DJE5SQ76C42NZAD7JE5X,30,Token2,C202
user84@versoix.onmicrosoft.com,8659623983167,GQVZ835QY6EMK886HQCC9DYE2MGPMAT8,30,Token2,C202
user85@versoix.onmicrosoft.com,8659623983168,DSF3Z32KV88TDV5TCVISVWZ5RXN5U8TT,30,Token2,C202
user86@versoix.onmicrosoft.com,8659623983169,6VY7IEFHWPABJG2TYQ8AZ32Q3P82A8VF,30,Token2,C202
user87@versoix.onmicrosoft.com,8659623983170,WCSB8QCYVD2SQIJGTHYMMHXHB292DMSQ,30,Token2,C202
user88@versoix.onmicrosoft.com,8659623983171,TRH7YQRK6XSCNPRBZ8AGJTGHPF6H8Z58,30,Token2,C202
user89@versoix.onmicrosoft.com,8659623983172,H3VZIJGUTBDSXZVMQ8STEGPZ5QE53PWS,30,Token2,C202
user90@versoix.onmicrosoft.com,8659623983173,9HZV5KURJRIB7PJXZ58V7NKSDNXV2GDX,30,Token2,C202
user91@versoix.onmicrosoft.com,8659623983174,3CCXJ2Y32JCIMEERW58Z684UJ47PQAKC,30,Token2,C202
user92@versoix.onmicrosoft.com,8659623983175,QGXMIGWVZ575IMH5U5FVDN8HIBMTP9CX,30,Token2,C202
user93@versoix.onmicrosoft.com,8659623983176,VWZEVNFJ96IJZY5W2X9RYNQWK6ADXV68,30,Token2,C202
user94@versoix.onmicrosoft.com,8659623983177,MBNCNCI5A2MZPFFWWVDTK5XMECJX3EWS,30,Token2,C202
user95@versoix.onmicrosoft.com,8659623983178,JNY2D47PEV5AZAFZPQD7QWSXS8N5Q2BF,30,Token2,C202
user96@versoix.onmicrosoft.com,8659623983179,BWDABCZSKE9PB5S5F72BK4YNZT2R6YMF,30,Token2,C202
user97@versoix.onmicrosoft.com,8659623983180,JQ6Q6RVPH2YJUYBTNXP5P6EK7K74E4IK,30,Token2,C202
user98@versoix.onmicrosoft.com,8659623983181,U4FG4DGKH7IGTZRSA2KGCUIDV989EECC,30,Token2,C202
user99@versoix.onmicrosoft.com,8659623983182,S2KMP843IEH5RUESRFSBJIGSVYBPVPJQ,30,Token2,C202
user100@versoix.onmicrosoft.com,8659623983183,NI6896WMZZPBKTM5ABA99EQCC6CR3ZWF,30,Token2,C202
user101@versoix.onmicrosoft.com,8659623983184,PGMCXNU4YKF92XP7HWFFKEHRG7Q8X9GX,30,Token2,C202
user102@versoix.onmicrosoft.com,8659623983185,YHG7FTJ8ZFWZZ8MSQEUYQJVP9KFSDTA5,30,Token2,C202
user103@versoix.onmicrosoft.com,8659623983186,SPFB8ZJTDR2IA3635W3PH9JIGGZJI5XZ,30,Token2,C202
user104@versoix.onmicrosoft.com,8659623983187,4JBRPJ8BEWI5SYSPDM2PMQ8KV2YPK3PQ,30,Token2,C202
user105@versoix.onmicrosoft.com,8659623983188,95BKWT4T23HKZEDNRR5GPI35WWT5557C,30,Token2,C202
user106@versoix.onmicrosoft.com,8659623983189,54CWKPC3KAC3B3VYHFVUDJ2NMVA8XV5A,30,Token2,C202
user107@versoix.onmicrosoft.com,8659623983190,FB4XA3D5MYA93C3IR5PWSRWY6EUJSEME,30,Token2,C202
user108@versoix.onmicrosoft.com,8659623983191,9HNHVBADYTKG8W5CUV7JSDHE3PVHVMYD,30,Token2,C202
user109@versoix.onmicrosoft.com,8659623983192,IC4N63GF93T9AUZIJKQ8HA5859CKVRPD,30,Token2,C202
user110@versoix.onmicrosoft.com,8659623983193,CBX2NY3Z3PNGC6XPDFZPQNUMQI99BDIA,30,Token2,C202
user111@versoix.onmicrosoft.com,8659623983194,JZRHV8EJ2BM7S3T2YRKMBN4S8SWZ9JUD,30,Token2,C202
user112@versoix.onmicrosoft.com,8659623983195,FYSJN5X3N4IVM45W4MQ92K4F4QEPDG4E,30,Token2,C202
user113@versoix.onmicrosoft.com,8659623983196,M8E36JKH9DR98GFTPSSBQSGHST8FDZW9,30,Token2,C202
user114@versoix.onmicrosoft.com,8659623983197,YVWYTSJXFYMF8HY6IEYI8BHCRZWXVNA7,30,Token2,C202
user115@versoix.onmicrosoft.com,8659623983198,AVU5ZPVIHVG85YREKRJB6FNKI99VY9N9,30,Token2,C202
user116@versoix.onmicrosoft.com,8659623983199,7D9YEUBST9EGCEN7WX49XFG2969VHZD4,30,Token2,C202
user117@versoix.onmicrosoft.com,8659623983200,CXGTHVNK6U9RA3BYINAQ3FDIC6FQYDEW,30,Token2,C202
user118@versoix.onmicrosoft.com,8659623983201,TRDUSP2X5Z2JDQKIVQP7TDDMRPABXU5B,30,Token2,C202
user119@versoix.onmicrosoft.com,8659623983202,7BQSHYD3D58CB2JMUWPB9PRVQZ35JMB4,30,Token2,C202
user120@versoix.onmicrosoft.com,8659623983203,WJF5NBT4KKTJV327XH68XCWTU2VXE44F,30,Token2,C202
user121@versoix.onmicrosoft.com,8659623983204,ZDZ2RDTS87YBV4CG6YU3XQ69GIYZCG76,30,Token2,C202
user122@versoix.onmicrosoft.com,8659623983205,J2VWQC23ZZJ9IY2NPN7HTJY3972P4EBT,30,Token2,C202
user123@versoix.onmicrosoft.com,8659623983206,R6A5XYBBUCD972AQ8DKCM2ISSS8562RM,30,Token2,C202
user124@versoix.onmicrosoft.com,8659623983207,PNWTZQRGHFVFIARZNBFRY3GCQCEG4X46,30,Token2,C202
user125@versoix.onmicrosoft.com,8659623983208,CSD48D6JB5MNE37B2FQH23RV2PRUZZ92,30,Token2,C202
user126@versoix.onmicrosoft.com,8659623983209,PS6Z9EUS6JWNHYWBSM5DT7WGW7BB7XCB,30,Token2,C202
user127@versoix.onmicrosoft.com,8659623983210,AYSMVKYCIVKWYBQDH7KZFFRZZD8JD9TT,30,Token2,C202
user128@versoix.onmicrosoft.com,8659623983211,C8WENKE6YJP7895CI88ZIBSVS4TQWHHY,30,Token2,C202
user129@versoix.onmicrosoft.com,8659623983212,HQNEP283GWYMGHX2785Q769CJEX3QKTW,30,Token2,C202
user130@versoix.onmicrosoft.com,8659623983213,KYQD9A2P9QSJ5SZNQBYZX9DDBRSDG9AE,30,Token2,C202
user131@versoix.onmicrosoft.com,8659623983214,MAA8Y9YEH5XKX476QPTVPZB6ZNZSX7WM,30,Token2,C202
user132@versoix.onmicrosoft.com,8659623983215,EN6UFB8NNHT7K29XXIZ2TM6GMQGKK2WH,30,Token2,C202
user133@versoix.onmicrosoft.com,8659623983216,7S9JJTAEPMCSWEXJNNQMEANS2WA94RXT,30,Token2,C202
user134@versoix.onmicrosoft.com,8659623983217,WN7RUAP88U7SD8XQZ64ZE3C8287FADMW,30,Token2,C202
user135@versoix.onmicrosoft.com,8659623983218,PNZYREMU3UBMZJPEMSYUC92Q2PWR38FB,30,Token2,C202
user136@versoix.onmicrosoft.com,8659623983219,KI3V48FFT4BZBYKUJX8EPCNU2KS2I3VM,30,Token2,C202
user137@versoix.onmicrosoft.com,8659623983220,JDCVMCUR8E25J98VEWFRF7RV79V7H94F,30,Token2,C202
user138@versoix.onmicrosoft.com,8659623983221,3Q3VSFP356XPVVX5ZS93HA9YZJK2CP3J,30,Token2,C202
user139@versoix.onmicrosoft.com,8659623983222,Q7U6NCVRYZVKND8PJXNDVIZ6WDFDP5QK,30,Token2,C202
user140@versoix.onmicrosoft.com,8659623983223,27JTBM8E9NRGZ9CW5NPFJQUTAQQIYTE2,30,Token2,C202
user141@versoix.onmicrosoft.com,8659623983224,THQJPQKK6Y7ZV48MYZ5CN9E8CBU3RDQT,30,Token2,C202
user142@versoix.onmicrosoft.com,8659623983225,AXT85F92FBFBUZQPSTN2F763QQGV57JH,30,Token2,C202
user143@versoix.onmicrosoft.com,8659623983226,UHA3QI95WSZTJCYYN8HHJHIXAB2DPP6F,30,Token2,C202
user144@versoix.onmicrosoft.com,8659623983227,7JC44Y8UYRDBXUZDGFT2HY3PZ8IR457W,30,Token2,C202
user145@versoix.onmicrosoft.com,8659623983228,UVZYXCBRG6CBFPTHIA2CWHSCXAH4NPNH,30,Token2,C202
user146@versoix.onmicrosoft.com,8659623983229,THM5PP6TJAB67RH4UJPC4JZXE6SB8CF7,30,Token2,C202
user147@versoix.onmicrosoft.com,8659623983230,Y7PGWNC33HHNG8XV9WH3UQ78VXJ7BDDS,30,Token2,C202
user148@versoix.onmicrosoft.com,8659623983231,JZHMPVKG23PPZV7RUW2Q4HIDNREYCPJR,30,Token2,C202
user149@versoix.onmicrosoft.com,8659623983232,8J2BDTRQQV6CWJXTHXP6R5NICJ8B7II3,30,Token2,C202
user150@versoix.onmicrosoft.com,8659623983233,AWV4NXV8T7WGIJ44KGEEBCYWXRVPAS4J,30,Token2,C202
user151@versoix.onmicrosoft.com,8659623983234,TR7J5RH7DEMR24APN3K7ZEKGARUDHTQS,30,Token2,C202
user152@versoix.onmicrosoft.com,8659623983235,NYWRF6R9E4MWEVVFKAE34QD2X25N5MGW,30,Token2,C202
user153@versoix.onmicrosoft.com,8659623983236,I8M8GWHC5SDBBK8FS4B6VXGAEH4W2G9C,30,Token2,C202
user154@versoix.onmicrosoft.com,8659623983237,9VK7TJCS7DN45GJSCG3JY4ZQ245XUVWJ,30,Token2,C202
user155@versoix.onmicrosoft.com,8659623983238,CGW2CY4DRZ3YIZ9U65RN7B3XHJ6Y69GI,30,Token2,C202
user156@versoix.onmicrosoft.com,8659623983239,6KMJUV5VY6QKHPVXKSPAFYRRRAKSUU7X,30,Token2,C202
user157@versoix.onmicrosoft.com,8659623983240,E57UM2SSP4S8YDXB6NE42QNRTXNDIUXY,30,Token2,C202
user158@versoix.onmicrosoft.com,8659623983241,XQZXVWAM7A3JJU9PS2ZZJ2VJ6MTKMT4J,30,Token2,C202
user159@versoix.onmicrosoft.com,8659623983242,E9JWW83SPYXHRIZEKSIN3PD9F7B5JR6H,30,Token2,C202
user160@versoix.onmicrosoft.com,8659623983243,IZ7FKNTED3ZR47CAKQPFM4XE2M7AR6C5,30,Token2,C202
user161@versoix.onmicrosoft.com,8659623983244,44GIDB9UY3M4DBRVEJCFZ5CJKEKQN8Z7,30,Token2,C202
user162@versoix.onmicrosoft.com,8659623983245,HIBUZUTK2BSQUZMJCUVC6SQ47M4JHX26,30,Token2,C202
